         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.023    0.023    0.690    0.690 sensor_models.py:2(<module>)
    60000    0.262    0.000    0.499    0.000 sensor_models.py:31(inverse_range_sensor_model)
    60000    0.092    0.000    0.143    0.000 sensor_models.py:8(potato)
        1    0.001    0.001    0.137    0.137 stat_filter.py:2(<module>)
        1    0.001    0.001    0.098    0.098 pyplot.py:17(<module>)
       13    0.005    0.000    0.064    0.005 __init__.py:1(<module>)
    60000    0.061    0.000    0.061    0.000 stat_filter.py:72(log_odds)
    60000    0.017    0.000    0.051    0.000 fromnumeric.py:977(argmin)
        1    0.001    0.001    0.045    0.045 colorbar.py:20(<module>)
        1    0.001    0.001    0.039    0.039 __init__.py:101(<module>)
    60000    0.034    0.000    0.034    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      291    0.001    0.000    0.030    0.000 {__import__}
        1    0.001    0.001    0.030    0.030 __init__.py:106(<module>)
        1    0.001    0.001    0.027    0.027 collections.py:10(<module>)
        1    0.000    0.000    0.023    0.023 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.023    0.023 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.023    0.023 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.023    0.023 backend_qt5.py:1(<module>)
      503    0.001    0.000    0.023    0.000 re.py:230(_compile)
       82    0.000    0.000    0.022    0.000 re.py:192(compile)
        1    0.000    0.000    0.022    0.022 figureoptions.py:8(<module>)
       79    0.000    0.000    0.022    0.000 sre_compile.py:567(compile)
        1    0.001    0.001    0.022    0.022 formlayout.py:34(<module>)
        1    0.001    0.001    0.021    0.021 backend_bases.py:33(<module>)
        1    0.020    0.020    0.020    0.020 qt_compat.py:2(<module>)
    60000    0.018    0.000    0.018    0.000 dynamics.py:30(wrap_angle)
        1    0.001    0.001    0.018    0.018 figure.py:12(<module>)
        1    0.000    0.000    0.017    0.017 type_check.py:3(<module>)
        1    0.001    0.001    0.015    0.015 _subplots.py:1(<module>)
       79    0.000    0.000    0.012    0.000 sre_parse.py:706(parse)
        1    0.001    0.001    0.012    0.012 _axes.py:1(<module>)
       11    0.000    0.000    0.012    0.001 artist.py:1473(kwdoc)
   243/79    0.001    0.000    0.011    0.000 sre_parse.py:317(_parse_sub)
    61469    0.011    0.000    0.011    0.000 {min}
   345/89    0.004    0.000    0.011    0.000 sre_parse.py:395(_parse)
        1    0.001    0.001    0.011    0.011 rcsetup.py:15(<module>)
        1    0.000    0.000    0.010    0.010 inspect.py:25(<module>)
        1    0.001    0.001    0.010    0.010 textpath.py:3(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:7(<module>)
       22    0.000    0.000    0.010    0.000 __init__.py:1086(rc_params_from_file)
       79    0.000    0.000    0.010    0.000 sre_compile.py:552(_code)
        1    0.001    0.001    0.009    0.009 artist.py:1(<module>)
        1    0.001    0.001    0.009    0.009 fontconfig_pattern.py:7(<module>)
       11    0.001    0.000    0.009    0.001 artist.py:1183(pprint_setters)
        1    0.000    0.000    0.008    0.008 core.py:1(<module>)
        1    0.000    0.000    0.008    0.008 tokenize.py:23(<module>)
        1    0.000    0.000    0.008    0.008 core.py:132(load_base_library)
        1    0.000    0.000    0.008    0.008 core.py:164(read_style_directory)
        1    0.001    0.001    0.008    0.008 contour.py:4(<module>)
       22    0.002    0.000    0.008    0.000 __init__.py:1010(_rc_params_in_file)
       30    0.000    0.000    0.008    0.000 {map}
        1    0.002    0.002    0.007    0.007 widgets.py:10(<module>)
     1030    0.001    0.000    0.007    0.000 __init__.py:868(__setitem__)
        1    0.001    0.001    0.007    0.007 transforms.py:30(<module>)
        1    0.000    0.000    0.007    0.007 decorators.py:15(<module>)
   663/79    0.003    0.000    0.007    0.000 sre_compile.py:64(_compile)
        1    0.001    0.001    0.007    0.007 pyparsing.py:58(<module>)
        1    0.001    0.001    0.006    0.006 utils.py:4(<module>)
       11    0.000    0.000    0.006    0.001 six.py:89(__get__)
        9    0.000    0.000    0.006    0.001 six.py:157(_resolve)
       11    0.000    0.000    0.006    0.001 six.py:78(_import_module)
